".i","ds1.Barcodes"
0,"C3"
1,"C1"
2,"A3"
3,"B4"
4,"A5"
5,"C2"
6,"0"
7,"A5"
8,"A5"
9,"A5"
10,"B3"
11,"A1"
12,"B5"
13,"D1"
14,"C5"
15,"C2"
16,"C2"
17,"A4"
18,"A1"
19,"A5"
20,"0"
21,"D3"
22,"B5"
23,"C2"
24,"B4"
25,"C4"
26,"A2"
27,"C4"
28,"D2"
29,"A2"
30,"B1"
31,"0"
32,"A3"
33,"B3"
34,"D5"
35,"0"
36,"B4"
37,"B5"
38,"A5"
39,"D1"
40,"D5"
41,"0"
42,"B3"
43,"C3"
44,"0"
45,"0"
46,"0"
47,"A3"
48,"D3"
49,"B3"
50,"D1"
51,"D4"
52,"B1"
53,"A2"
54,"C5"
55,"A1"
56,"0"
57,"A1"
58,"0"
59,"B4"
60,"0"
61,"C4"
62,"C5"
63,"C3"
64,"A2"
65,"B3"
66,"C2"
67,"C4"
68,"B1"
69,"B2"
70,"0"
71,"C1"
72,"A4"
73,"D3"
74,"0"
75,"C2"
76,"C1"
77,"C4"
78,"A5"
79,"C2"
80,"D1"
81,"D2"
82,"C1"
83,"0"
84,"A5"
85,"B5"
86,"B5"
87,"0"
88,"B5"
89,"B1"
90,"B2"
91,"D5"
92,"0"
93,"A2"
94,"D1"
95,"D4"
96,"B1"
97,"0"
98,"0"
99,"C2"
100,"B5"
101,"D4"
102,"B3"
103,"A2"
104,"0"
105,"D1"
106,"A3"
107,"B5"
108,"0"
109,"D4"
110,"0"
111,"D1"
112,"D4"
113,"D2"
114,"B1"
115,"D4"
116,"C5"
117,"C2"
118,"D1"
119,"C4"
120,"C5"
121,"0"
122,"0"
123,"0"
124,"C3"
125,"D5"
126,"D4"
127,"B2"
128,"B3"
129,"A5"
130,"A1"
131,"C4"
132,"B1"
133,"C1"
134,"A2"
135,"C4"
136,"D5"
137,"0"
138,"C2"
139,"C5"
140,"A3"
141,"A3"
142,"B1"
143,"0"
144,"0"
145,"D5"
146,"D4"
147,"0"
148,"A2"
149,"B3"
150,"B1"
151,"D3"
152,"C2"
153,"B4"
154,"C5"
155,"0"
156,"A5"
157,"A2"
158,"B1"
159,"A5"
160,"B2"
161,"D4"
162,"0"
163,"A3"
164,"D1"
165,"C3"
166,"A3"
167,"B5"
168,"0"
169,"A4"
170,"B2"
171,"B5"
172,"0"
173,"C5"
174,"B3"
175,"B3"
176,"0"
177,"0"
178,"D3"
179,"C5"
180,"B4"
181,"C5"
182,"B4"
183,"D5"
184,"0"
185,"0"
186,"B5"
187,"D5"
188,"B5"
189,"B3"
190,"A3"
191,"A5"
192,"0"
193,"C5"
194,"A5"
195,"0"
196,"C1"
197,"A1"
198,"D5"
199,"A5"
200,"B4"
201,"D1"
202,"D5"
203,"C1"
204,"0"
205,"B1"
206,"D5"
207,"A1"
208,"D2"
209,"0"
210,"0"
211,"D3"
212,"D1"
213,"B4"
214,"B2"
215,"0"
216,"0"
217,"0"
218,"C5"
219,"B1"
220,"B2"
221,"A3"
222,"0"
223,"0"
224,"0"
225,"D2"
226,"C5"
227,"0"
228,"D3"
229,"A3"
230,"A2"
231,"D4"
232,"0"
233,"0"
234,"C3"
235,"0"
236,"C2"
237,"D5"
238,"B3"
239,"C5"
240,"B4"
241,"C3"
242,"0"
243,"B1"
244,"C3"
245,"B3"
246,"D3"
247,"C4"
248,"0"
249,"B3"
250,"0"
251,"D1"
252,"D2"
253,"0"
254,"A4"
255,"C5"
256,"A4"
257,"A1"
258,"B5"
259,"B1"
260,"C4"
261,"A1"
262,"0"
263,"C1"
264,"A3"
265,"0"
266,"A1"
267,"0"
268,"A1"
269,"D1"
270,"0"
271,"A4"
272,"0"
273,"D4"
274,"B4"
275,"C2"
276,"D4"
277,"A2"
278,"B4"
279,"D4"
280,"C3"
281,"D5"
282,"A4"
283,"0"
284,"A3"
285,"A1"
286,"0"
287,"D4"
288,"C1"
289,"0"
290,"A3"
291,"B5"
292,"0"
293,"D1"
294,"0"
295,"B3"
296,"0"
297,"0"
298,"0"
299,"B3"
300,"0"
301,"D2"
302,"B5"
303,"C5"
304,"D4"
305,"B2"
306,"D2"
307,"B2"
308,"B3"
309,"0"
310,"0"
311,"D1"
312,"B1"
313,"A4"
314,"B3"
315,"C5"
316,"A3"
317,"B4"
318,"A1"
319,"C3"
320,"B1"
321,"0"
322,"D3"
323,"0"
324,"C5"
325,"C4"
326,"C4"
327,"D4"
328,"C3"
329,"D1"
330,"A4"
331,"D3"
332,"0"
333,"D1"
334,"B3"
335,"B2"
336,"C5"
337,"C4"
338,"B1"
339,"A1"
340,"D4"
341,"C1"
342,"B4"
343,"C5"
344,"D4"
345,"0"
346,"0"
347,"0"
348,"D2"
349,"D5"
350,"C2"
351,"D2"
352,"D1"
353,"A5"
354,"A2"
355,"C5"
356,"0"
357,"0"
358,"A5"
359,"D3"
360,"0"
361,"0"
362,"C3"
363,"0"
364,"B5"
365,"B4"
366,"0"
367,"A3"
368,"D3"
369,"0"
370,"0"
371,"A5"
372,"0"
373,"0"
374,"0"
375,"B5"
376,"B2"
377,"0"
378,"C5"
379,"D4"
380,"C1"
381,"A1"
382,"C5"
383,"0"
384,"B1"
385,"D2"
386,"0"
387,"D4"
388,"B2"
389,"0"
390,"0"
391,"0"
392,"0"
393,"0"
394,"C2"
395,"0"
396,"B4"
397,"C1"
398,"C2"
399,"D5"
400,"C4"
401,"D5"
402,"B2"
403,"B3"
404,"0"
405,"0"
406,"0"
407,"0"
408,"C2"
409,"B3"
410,"0"
411,"C1"
412,"A4"
413,"0"
414,"C5"
415,"0"
416,"A3"
417,"0"
418,"C4"
419,"0"
420,"A4"
421,"0"
422,"B3"
423,"C1"
424,"C2"
425,"D5"
426,"D2"
427,"C2"
428,"B4"
429,"C3"
430,"D2"
431,"B1"
432,"B2"
433,"D1"
434,"C4"
435,"D1"
436,"0"
437,"0"
438,"A3"
439,"C4"
440,"A1"
441,"A4"
442,"C3"
443,"C1"
444,"0"
445,"B5"
446,"B5"
447,"D2"
448,"0"
449,"B3"
450,"D4"
451,"B5"
452,"C5"
453,"D1"
454,"A4"
455,"D3"
456,"B4"
457,"A4"
458,"A2"
459,"0"
460,"D4"
461,"D2"
462,"0"
463,"A4"
464,"0"
465,"B3"
466,"A4"
467,"B2"
468,"B2"
469,"D5"
470,"D5"
471,"0"
472,"0"
473,"C4"
474,"0"
475,"C1"
476,"0"
477,"D3"
478,"B2"
479,"B3"
480,"A3"
481,"B4"
482,"D4"
483,"C4"
484,"0"
485,"D4"
486,"B3"
487,"B3"
488,"B3"
489,"0"
490,"C2"
491,"D2"
492,"0"
493,"D1"
494,"C3"
495,"D5"
496,"B4"
497,"A2"
498,"D5"
499,"B5"
500,"D5"
501,"D3"
502,"0"
503,"D1"
504,"B3"
505,"D2"
506,"D4"
507,"C4"
508,"B5"
509,"0"
510,"D5"
511,"D4"
512,"C2"
513,"A4"
514,"A1"
515,"D3"
516,"C5"
517,"0"
518,"A1"
519,"C4"
520,"A3"
521,"0"
522,"0"
523,"D4"
524,"C1"
525,"C1"
526,"C3"
527,"0"
528,"0"
529,"A4"
530,"0"
531,"D1"
532,"C2"
533,"C5"
534,"C1"
535,"A3"
536,"C5"
537,"D1"
538,"A4"
539,"C1"
540,"D3"
541,"0"
542,"B2"
543,"C3"
544,"C4"
545,"A5"
546,"C5"
547,"B2"
548,"D1"
549,"C2"
550,"0"
551,"D2"
552,"0"
553,"0"
554,"A1"
555,"A1"
556,"A3"
557,"A1"
558,"B3"
559,"0"
560,"B2"
561,"D5"
562,"A2"
563,"B1"
564,"D5"
565,"B2"
566,"C2"
567,"C5"
568,"B3"
569,"B2"
570,"B4"
571,"C5"
572,"B5"
573,"A5"
574,"0"
575,"C4"
576,"C3"
577,"C2"
578,"0"
579,"0"
580,"A1"
581,"0"
582,"D4"
583,"B3"
584,"B4"
585,"D4"
586,"D4"
587,"B3"
588,"A5"
589,"A2"
590,"A5"
591,"0"
592,"B4"
593,"A4"
594,"C2"
595,"B5"
596,"0"
597,"D1"
598,"0"
599,"A2"
600,"B5"
601,"B5"
602,"0"
603,"D2"
604,"D3"
605,"D3"
606,"D3"
607,"0"
608,"0"
609,"C1"
610,"C4"
611,"D3"
612,"0"
613,"D4"
614,"D4"
615,"0"
616,"0"
617,"D3"
618,"0"
619,"A5"
620,"B2"
621,"B4"
622,"D1"
623,"0"
624,"D5"
625,"0"
626,"0"
627,"C5"
628,"B1"
629,"B3"
630,"A1"
631,"B2"
632,"B1"
633,"0"
634,"A1"
635,"0"
636,"A5"
637,"0"
638,"B5"
639,"0"
640,"D3"
641,"D3"
642,"B5"
643,"C3"
644,"C2"
645,"A4"
646,"0"
647,"C1"
648,"0"
649,"A5"
650,"0"
651,"B3"
652,"C2"
653,"0"
654,"D5"
655,"0"
656,"D4"
657,"A3"
658,"C4"
659,"B3"
660,"C1"
661,"A5"
662,"0"
663,"D4"
664,"0"
665,"A5"
666,"0"
667,"C4"
668,"0"
669,"C1"
670,"D1"
671,"B3"
672,"0"
673,"0"
674,"0"
675,"D1"
676,"B2"
677,"0"
678,"C4"
679,"0"
680,"A5"
681,"C1"
682,"0"
683,"D1"
684,"C2"
685,"A5"
686,"D5"
687,"C3"
688,"A2"
689,"0"
690,"D1"
691,"B1"
692,"A5"
693,"D5"
694,"0"
695,"D1"
696,"B5"
697,"A5"
698,"B4"
699,"0"
700,"D3"
701,"C3"
702,"0"
703,"C1"
704,"D1"
705,"A1"
706,"0"
707,"0"
708,"0"
709,"0"
710,"C3"
711,"D3"
712,"C4"
713,"B4"
714,"C4"
715,"B5"
716,"C3"
717,"0"
718,"C4"
719,"B1"
720,"B5"
721,"0"
722,"0"
723,"C3"
724,"C2"
725,"0"
726,"B3"
727,"0"
728,"A5"
729,"B4"
730,"B4"
731,"0"
732,"A5"
733,"0"
734,"0"
735,"0"
736,"A1"
737,"0"
738,"C2"
739,"0"
740,"0"
741,"0"
742,"0"
743,"D4"
744,"0"
745,"A2"
746,"0"
747,"C3"
748,"D2"
749,"0"
750,"D5"
751,"B2"
752,"D5"
753,"D2"
754,"C2"
755,"0"
756,"D3"
757,"B4"
758,"A4"
759,"A4"
760,"A3"
761,"C2"
762,"0"
763,"D3"
764,"0"
765,"A5"
766,"B5"
767,"0"
768,"C5"
769,"D4"
770,"B1"
771,"D2"
772,"A5"
773,"0"
774,"0"
775,"C1"
776,"D1"
777,"B3"
778,"0"
779,"B5"
780,"C3"
781,"A1"
782,"B5"
783,"C2"
784,"0"
785,"D4"
786,"A4"
787,"D5"
788,"A2"
789,"D1"
790,"0"
791,"B3"
792,"B1"
793,"0"
794,"C2"
795,"A4"
796,"0"
797,"A4"
798,"A4"
799,"D5"
800,"0"
801,"A5"
802,"0"
803,"0"
804,"D2"
805,"B2"
806,"0"
807,"D2"
808,"D1"
809,"C3"
810,"D1"
811,"A2"
812,"C3"
813,"A5"
814,"A4"
815,"A3"
816,"C3"
817,"A4"
818,"D2"
819,"C5"
820,"0"
821,"C1"
822,"D1"
823,"0"
824,"0"
825,"A4"
826,"B2"
827,"A3"
828,"C5"
829,"0"
830,"0"
831,"D2"
832,"D1"
833,"B4"
834,"0"
835,"D2"
836,"D4"
837,"0"
838,"C3"
839,"0"
840,"A2"
841,"C4"
842,"D4"
843,"C3"
844,"0"
845,"0"
846,"0"
847,"0"
848,"C5"
849,"0"
850,"A5"
851,"C2"
852,"B2"
853,"C2"
854,"A2"
855,"D2"
856,"C1"
857,"A5"
858,"0"
859,"0"
860,"C4"
861,"0"
862,"B3"
863,"D4"
864,"C4"
865,"A5"
866,"0"
867,"0"
868,"B2"
869,"A4"
870,"D2"
871,"0"
872,"0"
873,"0"
874,"A2"
875,"0"
876,"D5"
877,"D2"
878,"D5"
879,"D3"
880,"A1"
881,"0"
882,"0"
883,"C4"
884,"0"
885,"D4"
886,"D4"
887,"B2"
888,"0"
889,"0"
890,"0"
891,"D1"
892,"B5"
893,"0"
894,"C2"
895,"B2"
896,"D3"
897,"0"
898,"0"
899,"D2"
900,"0"
901,"0"
902,"A1"
903,"A1"
904,"A5"
905,"0"
906,"0"
907,"A4"
908,"A2"
909,"0"
910,"0"
911,"D4"
912,"D3"
913,"0"
914,"B1"
915,"0"
916,"D1"
917,"D1"
918,"0"
919,"A2"
920,"C4"
921,"C4"
922,"C2"
923,"A1"
924,"A1"
925,"0"
926,"0"
927,"0"
928,"0"
929,"C2"
930,"D5"
931,"D3"
932,"D3"
933,"A3"
934,"D2"
935,"0"
936,"0"
937,"B2"
938,"B4"
939,"D4"
940,"0"
941,"C3"
942,"0"
943,"A5"
944,"D1"
945,"B1"
946,"D2"
947,"A2"
948,"C2"
949,"B1"
950,"C3"
951,"0"
952,"A4"
953,"0"
954,"D1"
955,"A4"
956,"D4"
957,"0"
958,"0"
959,"C5"
960,"D3"
961,"0"
962,"0"
963,"D5"
964,"0"
965,"D2"
966,"B2"
967,"A2"
968,"0"
969,"0"
970,"A4"
971,"B3"
972,"C3"
973,"D5"
974,"B5"
975,"0"
976,"B1"
977,"0"
978,"0"
979,"C1"
980,"D2"
981,"C5"
982,"0"
983,"0"
984,"B3"
985,"0"
986,"B5"
987,"0"
988,"C5"
989,"C1"
990,"D5"
991,"0"
992,"B4"
993,"D2"
994,"0"
995,"A1"
996,"B3"
997,"0"
998,"0"
999,"0"
1000,"D1"
1001,"0"
1002,"D3"
1003,"0"
1004,"A3"
1005,"A5"
1006,"A5"
1007,"0"
1008,"D4"
1009,"A5"
1010,"C1"
1011,"B1"
1012,"D2"
1013,"C5"
1014,"0"
1015,"0"
1016,"0"
1017,"C2"
1018,"D4"
1019,"C4"
1020,"0"
1021,"D2"
1022,"0"
1023,"C3"
1024,"A2"
1025,"D1"
1026,"A2"
1027,"0"
1028,"B5"
1029,"C3"
1030,"B5"
1031,"C2"
1032,"C4"
1033,"0"
1034,"C1"
1035,"D2"
1036,"C1"
1037,"B5"
1038,"A5"
1039,"D5"
1040,"0"
1041,"0"
1042,"D2"
1043,"0"
1044,"0"
1045,"0"
1046,"A4"
1047,"C5"
1048,"A1"
1049,"B3"
1050,"C4"
1051,"C3"
1052,"0"
1053,"C4"
1054,"0"
1055,"0"
1056,"B2"
1057,"C3"
1058,"A2"
1059,"0"
1060,"A3"
1061,"0"
1062,"B4"
1063,"A2"
1064,"C1"
1065,"D1"
1066,"C2"
1067,"D3"
1068,"B3"
1069,"0"
1070,"A5"
1071,"B5"
1072,"0"
1073,"D2"
1074,"0"
1075,"0"
1076,"0"
1077,"A4"
1078,"B2"
1079,"C3"
1080,"0"
1081,"B1"
1082,"A4"
1083,"A4"
1084,"C4"
1085,"B3"
1086,"A4"
1087,"0"
1088,"0"
1089,"0"
1090,"C3"
1091,"C5"
1092,"A3"
1093,"D2"
1094,"B4"
1095,"0"
1096,"A4"
1097,"0"
1098,"B4"
1099,"0"
1100,"A4"
1101,"0"
1102,"0"
1103,"B2"
1104,"B3"
1105,"B5"
1106,"0"
1107,"D3"
1108,"C5"
1109,"D5"
1110,"0"
1111,"C2"
1112,"0"
1113,"B1"
1114,"B2"
1115,"A3"
1116,"C1"
1117,"D5"
1118,"A4"
1119,"0"
1120,"0"
1121,"0"
1122,"D2"
1123,"C3"
1124,"D5"
1125,"A3"
1126,"D1"
1127,"C3"
1128,"A4"
1129,"B3"
1130,"B5"
1131,"B4"
1132,"0"
1133,"D1"
1134,"B1"
1135,"0"
1136,"A4"
1137,"C3"
1138,"D2"
1139,"0"
1140,"B4"
1141,"C1"
1142,"C5"
1143,"0"
1144,"0"
1145,"0"
1146,"0"
1147,"B3"
1148,"C3"
1149,"C3"
1150,"A2"
1151,"D4"
1152,"0"
1153,"D2"
1154,"A2"
1155,"D2"
1156,"0"
1157,"0"
1158,"0"
1159,"C1"
1160,"0"
1161,"D4"
1162,"0"
1163,"0"
1164,"C2"
1165,"D5"
1166,"A2"
1167,"A4"
1168,"A2"
1169,"C5"
1170,"C5"
1171,"0"
1172,"0"
1173,"A2"
1174,"A3"
1175,"A3"
1176,"0"
1177,"0"
1178,"0"
1179,"B5"
1180,"0"
1181,"0"
1182,"A3"
1183,"B3"
1184,"B1"
1185,"0"
1186,"D3"
1187,"C5"
1188,"C3"
1189,"0"
1190,"B3"
1191,"A2"
1192,"D5"
1193,"0"
1194,"0"
1195,"D1"
1196,"D4"
1197,"D2"
1198,"A2"
1199,"C4"
1200,"C1"
1201,"0"
1202,"C5"
1203,"D4"
1204,"C4"
1205,"0"
1206,"0"
1207,"B1"
1208,"B4"
1209,"0"
1210,"0"
1211,"C1"
1212,"0"
1213,"A2"
1214,"C5"
1215,"0"
1216,"D2"
1217,"A3"
1218,"0"
1219,"D5"
1220,"0"
1221,"C1"
1222,"C2"
1223,"0"
1224,"0"
1225,"D1"
1226,"0"
1227,"B4"
1228,"C1"
1229,"0"
1230,"0"
1231,"D1"
1232,"0"
1233,"A4"
1234,"B1"
1235,"A1"
1236,"D5"
1237,"0"
1238,"C5"
1239,"D1"
1240,"B2"
1241,"B1"
1242,"A3"
1243,"0"
1244,"B2"
1245,"0"
1246,"0"
1247,"D1"
1248,"C4"
1249,"A5"
1250,"A2"
1251,"0"
1252,"B3"
1253,"C2"
1254,"C5"
1255,"B2"
1256,"D2"
1257,"A2"
1258,"B4"
1259,"A4"
1260,"B2"
1261,"B2"
1262,"C5"
1263,"D1"
1264,"D2"
1265,"A1"
1266,"D3"
1267,"D4"
1268,"0"
1269,"0"
1270,"0"
1271,"B3"
1272,"B3"
1273,"0"
1274,"0"
1275,"D1"
1276,"0"
1277,"0"
1278,"D2"
1279,"D4"
1280,"C2"
1281,"0"
1282,"A1"
1283,"D4"
1284,"0"
1285,"D5"
1286,"C1"
1287,"0"
1288,"A5"
1289,"0"
1290,"0"
1291,"0"
1292,"D5"
1293,"0"
1294,"0"
1295,"0"
1296,"B5"
1297,"D1"
1298,"B2"
1299,"0"
1300,"0"
1301,"B1"
1302,"0"
1303,"C1"
1304,"C5"
1305,"0"
1306,"D5"
1307,"C4"
1308,"0"
1309,"0"
1310,"D4"
1311,"A5"
1312,"C1"
1313,"0"
1314,"B4"
1315,"B2"
1316,"0"
1317,"D5"
1318,"0"
1319,"D3"
1320,"0"
1321,"0"
1322,"0"
1323,"C1"
1324,"A2"
1325,"C1"
1326,"0"
1327,"B5"
1328,"C1"
1329,"A1"
1330,"A5"
1331,"A4"
1332,"B3"
1333,"0"
1334,"C2"
1335,"0"
1336,"B5"
1337,"0"
1338,"0"
1339,"D1"
1340,"B3"
1341,"D5"
1342,"0"
1343,"0"
1344,"C2"
1345,"D4"
1346,"0"
1347,"A2"
1348,"C5"
1349,"0"
1350,"B4"
1351,"0"
1352,"0"
1353,"B3"
1354,"0"
1355,"0"
1356,"D1"
1357,"B1"
1358,"0"
1359,"B1"
1360,"B4"
1361,"D3"
1362,"D3"
1363,"0"
1364,"D3"
1365,"A2"
1366,"D3"
1367,"C2"
1368,"0"
1369,"0"
1370,"D5"
1371,"0"
1372,"0"
1373,"D3"
1374,"D2"
1375,"0"
1376,"D4"
1377,"0"
1378,"D5"
1379,"0"
1380,"A4"
1381,"D3"
1382,"B1"
1383,"0"
1384,"0"
1385,"C3"
1386,"C3"
1387,"A5"
1388,"D1"
1389,"B3"
1390,"C3"
1391,"B5"
1392,"A5"
1393,"C4"
1394,"A4"
1395,"B3"
1396,"0"
1397,"A3"
1398,"D1"
1399,"0"
1400,"0"
1401,"0"
1402,"C1"
1403,"B4"
1404,"D3"
1405,"D1"
1406,"0"
1407,"0"
1408,"0"
1409,"0"
1410,"0"
1411,"D2"
1412,"A1"
1413,"D3"
1414,"B3"
1415,"D1"
1416,"B4"
1417,"B2"
1418,"0"
1419,"C2"
1420,"0"
1421,"0"
1422,"D5"
1423,"0"
1424,"A3"
1425,"0"
1426,"0"
1427,"D2"
1428,"0"
1429,"0"
1430,"0"
1431,"0"
1432,"0"
1433,"0"
1434,"C4"
1435,"D3"
1436,"C5"
1437,"C5"
1438,"0"
1439,"0"
1440,"C4"
1441,"0"
1442,"D2"
1443,"C2"
1444,"D2"
1445,"C5"
1446,"B3"
1447,"0"
1448,"B5"
1449,"C4"
1450,"C1"
1451,"0"
1452,"A4"
1453,"0"
1454,"B1"
1455,"0"
1456,"A4"
1457,"C4"
1458,"0"
1459,"B2"
1460,"D1"
1461,"D3"
1462,"0"
1463,"C5"
1464,"D1"
1465,"0"
1466,"0"
1467,"A3"
1468,"0"
1469,"D3"
1470,"B5"
1471,"A1"
1472,"D1"
1473,"B3"
1474,"B5"
1475,"0"
1476,"0"
1477,"C5"
1478,"A3"
1479,"B5"
1480,"A1"
1481,"0"
1482,"B4"
1483,"0"
1484,"A5"
1485,"0"
1486,"D3"
1487,"B4"
1488,"D1"
1489,"A2"
1490,"0"
1491,"B4"
1492,"B5"
1493,"D3"
1494,"D2"
1495,"0"
1496,"D4"
1497,"B3"
1498,"0"
1499,"B2"
1500,"0"
1501,"D4"
1502,"0"
1503,"C5"
1504,"0"
1505,"C5"
1506,"0"
1507,"D1"
1508,"C1"
1509,"0"
1510,"0"
1511,"C3"
1512,"C2"
1513,"0"
1514,"0"
1515,"D1"
1516,"C5"
1517,"D2"
1518,"0"
1519,"0"
1520,"0"
1521,"A4"
1522,"0"
1523,"B4"
1524,"A5"
1525,"0"
1526,"B5"
1527,"D1"
1528,"A5"
1529,"0"
1530,"0"
1531,"D1"
1532,"C1"
1533,"0"
1534,"A2"
1535,"0"
1536,"C4"
1537,"B1"
1538,"0"
1539,"0"
1540,"0"
1541,"A4"
1542,"C4"
1543,"0"
1544,"D4"
1545,"0"
1546,"D1"
1547,"0"
1548,"0"
1549,"0"
1550,"0"
1551,"C1"
1552,"B1"
1553,"C2"
1554,"B2"
1555,"0"
1556,"0"
1557,"A5"
1558,"B4"
1559,"C4"
1560,"D1"
1561,"A3"
1562,"D2"
1563,"C5"
1564,"D3"
1565,"D5"
1566,"D5"
1567,"B4"
1568,"A1"
1569,"D3"
1570,"A4"
1571,"A1"
1572,"D3"
1573,"0"
1574,"0"
1575,"C3"
1576,"C2"
1577,"0"
1578,"C2"
1579,"D2"
1580,"C1"
1581,"0"
1582,"0"
1583,"A1"
1584,"A3"
1585,"0"
1586,"C3"
1587,"0"
1588,"D1"
1589,"0"
1590,"0"
1591,"B3"
1592,"D1"
1593,"D2"
1594,"0"
1595,"0"
1596,"B3"
1597,"D2"
1598,"0"
1599,"0"
1600,"0"
1601,"B2"
1602,"0"
1603,"C5"
1604,"0"
1605,"0"
1606,"0"
1607,"0"
1608,"A3"
1609,"0"
1610,"0"
1611,"B1"
1612,"C4"
1613,"D5"
1614,"D2"
1615,"D1"
1616,"B3"
1617,"B5"
1618,"A3"
1619,"0"
1620,"B2"
1621,"D3"
1622,"B4"
